------------------------------------------------------------
  STRESS TEST REPORT - 2026-02-21 23:31:52
  Target: http://localhost:6969   Workers: 10   Duration: 10.3s
------------------------------------------------------------
  ENDPOINT                             REQS   ERRS   ERR%
------------------------------------------------------------
  /anime/11255                            1      0   0.0%
  /anime/13391                            1      0   0.0%
  /anime/1769                             1      0   0.0%
  /anime/17933                            1      0   0.0%
  /anime/1908                             1      0   0.0%
  /anime/2553                             1      0   0.0%
  /anime/25619                            1      0   0.0%
  /anime/2784                             1      0   0.0%
  /anime/2971                             1      0   0.0%
  /anime/30054                            1      0   0.0%
  /anime/30386                            1      0   0.0%
  /anime/30924                            1      0   0.0%
  /anime/34813                            1      0   0.0%
  /anime/35458                            1      0   0.0%
  /anime/37511                            1      0   0.0%
  /anime/42482                            1      0   0.0%
  /anime/42649                            1      0   0.0%
  /anime/43494                            1      0   0.0%
  /anime/43669                            1      0   0.0%
  /anime/44709                            1      0   0.0%
  /anime/4475                             1      0   0.0%
  /anime/45571                            1      0   0.0%
  /anime/4657                             1      0   0.0%
  /anime/47284                            1      0   0.0%
  /anime/54541                            1      0   0.0%
  /anime/5548                             1      0   0.0%
  /anime/55733                            1      0   0.0%
  /anime/56332                            1      0   0.0%
  /anime/56711                            1      0   0.0%
  /anime/58511                            1      0   0.0%
  /anime/59256                            1      0   0.0%
  /anime/60200                            1      0   0.0%
  /anime/60790                            1      0   0.0%
  /anime/62200                            1      0   0.0%
  /anime/62497                            1      0   0.0%
  /anime/6994                             1      0   0.0%
  /anime/8337                             1      0   0.0%
  /anime/licensor/102                     1      0   0.0%
  /anime/licensor/1097                    1      0   0.0%
  /anime/licensor/1325                    1      0   0.0%
  /anime/licensor/1344                    1      0   0.0%
  /anime/licensor/1447                    2      0   0.0%
  /anime/licensor/1468                    1      0   0.0%
  /anime/licensor/1486                    1      0   0.0%
  /anime/licensor/15                      1      0   0.0%
  /anime/licensor/1977                    1      0   0.0%
  /anime/licensor/2259                    1      0   0.0%
  /anime/licensor/2261                    1      0   0.0%
  /anime/licensor/2262                    1      0   0.0%
  /anime/licensor/2505                    1      0   0.0%
  /anime/licensor/284                     2      0   0.0%
  /anime/licensor/296                     1      0   0.0%
  /anime/licensor/3095                    1      0   0.0%
  /anime/licensor/3174                    1      0   0.0%
  /anime/licensor/372                     1      0   0.0%
  /anime/licensor/376                     1      0   0.0%
  /anime/licensor/417                     1      0   0.0%
  /anime/licensor/451                     1      0   0.0%
  /anime/licensor/465                     1      0   0.0%
  /anime/licensor/467                     1      0   0.0%
  /anime/licensor/483                     2      0   0.0%
  /anime/licensor/488                     1      0   0.0%
  /anime/licensor/490                     1      0   0.0%
  /anime/licensor/573                     1      0   0.0%
  /anime/licensor/595                     1      0   0.0%
  /anime/licensor/61                      1      0   0.0%
  /anime/licensor/783                     1      0   0.0%
  /anime/licensor/791                     1      0   0.0%
  /anime/licensor/841                     1      0   0.0%
  /anime/licensor/965                     1      0   0.0%
  /anime/licensor/97                      1      0   0.0%
  /anime/producer/1                       1      0   0.0%
  /anime/producer/1307                    1      0   0.0%
  /anime/producer/1372                    1      0   0.0%
  /anime/producer/138                     1      0   0.0%
  /anime/producer/1506                    1      0   0.0%
  /anime/producer/1517                    1      0   0.0%
  /anime/producer/1541                    1      0   0.0%
  /anime/producer/1552                    1      0   0.0%
  /anime/producer/1554                    1      0   0.0%
  /anime/producer/159                     1      0   0.0%
  /anime/producer/1678                    1      0   0.0%
  /anime/producer/1697                    1      0   0.0%
  /anime/producer/1856                    1      0   0.0%
  /anime/producer/1900                    1      0   0.0%
  /anime/producer/1909                    1      0   0.0%
  /anime/producer/1942                    1      0   0.0%
  /anime/producer/1977                    1      0   0.0%
