------------------------------------------------------------
  STRESS TEST REPORT - 2026-02-21 15:50:06
  Target: http://localhost:6969   Workers: 10   Duration: 10.3s
------------------------------------------------------------
  ENDPOINT                             REQS   ERRS   ERR%
------------------------------------------------------------
  /anime/10507                            1      0   0.0%
  /anime/1135                             1      0   0.0%
  /anime/13427                            1      0   0.0%
  /anime/14355                            1      0   0.0%
  /anime/1775                             1      0   0.0%
  /anime/20141                            1      0   0.0%
  /anime/26317                            1      0   0.0%
  /anime/29261                            1      0   0.0%
  /anime/31638                            1      0   0.0%
  /anime/32906                            1      0   0.0%
  /anime/32982                            1      0   0.0%
  /anime/34961                            1      0   0.0%
  /anime/37414                            1      0   0.0%
  /anime/37530                            1      0   0.0%
  /anime/37620                            1      0   0.0%
  /anime/37895                            1      0   0.0%
  /anime/39566                            1      0   0.0%
  /anime/40838                            1      0   0.0%
  /anime/42448                            1      0   0.0%
  /anime/42653                            1      0   0.0%
  /anime/43481                            1      0   0.0%
  /anime/47504                            1      0   0.0%
  /anime/47584                            1      0   0.0%
  /anime/48062                            1      0   0.0%
  /anime/49355                            1      0   0.0%
  /anime/52687                            1      0   0.0%
  /anime/52893                            1      0   0.0%
  /anime/52993                            1      0   0.0%
  /anime/54880                            1      0   0.0%
  /anime/56213                            1      0   0.0%
  /anime/5658                             1      0   0.0%
  /anime/57241                            1      0   0.0%
  /anime/5725                             1      0   0.0%
  /anime/5753                             1      0   0.0%
  /anime/57801                            1      0   0.0%
  /anime/59187                            1      0   0.0%
  /anime/5968                             1      0   0.0%
  /anime/60127                            1      0   0.0%
  /anime/60128                            1      0   0.0%
  /anime/60823                            1      0   0.0%
  /anime/61861                            1      0   0.0%
  /anime/62314                            1      0   0.0%
  /anime/6533                             1      0   0.0%
  /anime/6581                             1      0   0.0%
  /anime/6848                             1      0   0.0%
  /anime/7375                             1      0   0.0%
  /anime/8240                             1      0   0.0%
  /anime/8375                             1      0   0.0%
  /anime/licensor/1097                    1      0   0.0%
  /anime/licensor/1163                    1      0   0.0%
  /anime/licensor/1323                    1      0   0.0%
  /anime/licensor/1344                    1      0   0.0%
  /anime/licensor/1447                    2      0   0.0%
  /anime/licensor/1466                    1      0   0.0%
  /anime/licensor/1468                    1      0   0.0%
  /anime/licensor/1475                    1      0   0.0%
  /anime/licensor/15                      1      0   0.0%
  /anime/licensor/1737                    1      0   0.0%
  /anime/licensor/1928                    2      0   0.0%
  /anime/licensor/1977                    1      0   0.0%
  /anime/licensor/1994                    1      0   0.0%
  /anime/licensor/240                     1      0   0.0%
  /anime/licensor/2505                    1      0   0.0%
  /anime/licensor/2506                    1      0   0.0%
  /anime/licensor/270                     1      0   0.0%
  /anime/licensor/284                     1      0   0.0%
  /anime/licensor/296                     1      0   0.0%
  /anime/licensor/3003                    1      0   0.0%
  /anime/licensor/372                     1      0   0.0%
  /anime/licensor/451                     2      0   0.0%
  /anime/licensor/467                     1      0   0.0%
  /anime/licensor/483                     1      0   0.0%
  /anime/licensor/488                     2      0   0.0%
  /anime/licensor/505                     1      0   0.0%
  /anime/licensor/531                     2      0   0.0%
  /anime/licensor/573                     1      0   0.0%
  /anime/licensor/595                     1      0   0.0%
  /anime/licensor/791                     2      0   0.0%
  /anime/licensor/813                     3      0   0.0%
  /anime/licensor/965                     1      0   0.0%
  /anime/producer/1243                    1      0   0.0%
  /anime/producer/1398                    1      0   0.0%
  /anime/producer/1418                    1      0   0.0%
  /anime/producer/1463                    1      0   0.0%
  /anime/producer/1480                    1      0   0.0%
  /anime/producer/1555                    1      0   0.0%
  /anime/producer/1636                    1      0   0.0%
  /anime/producer/1667                    1      0   0.0%
  /anime/producer/1703                    1      0   0.0%
  /anime/producer/2024                    1      0   0.0%
  /anime/producer/2028                    1      0   0.0%
  /anime/producer/2065                    1      0   0.0%
  /anime/producer/2071                    1      0   0.0%
  /anime/producer/2116                    1      0   0.0%
  /anime/producer/213                     1      0   0.0%
  /anime/producer/2283                    1      0   0.0%
  /anime/producer/2371                    1      0   0.0%
  /anime/producer/2406                    1      0   0.0%
  /anime/producer/2469                    1      0   0.0%
  /anime/producer/2587                    1      0   0.0%
  /anime/producer/2707                    1      0   0.0%
  /anime/producer/2744                    1      0   0.0%
  /anime/producer/2770                    1      0   0.0%
  /anime/producer/2813                    1      0   0.0%
  /anime/producer/2958                    1      0   0.0%
  /anime/producer/3038                    1      0   0.0%
  /anime/producer/3075                    1      0   0.0%
  /anime/producer/3106                    1      0   0.0%
  /anime/producer/3198                    1      0   0.0%
  /anime/producer/5                       1      0   0.0%
  /anime/producer/509                     1      0   0.0%
  /anime/producer/53                      1      0   0.0%
  /anime/producer/7                       1      0   0.0%
  /anime/producer/701                     1      0   0.0%
  /anime/producer/73                      1      0   0.0%
  /anime/producer/973                     1      0   0.0%
  /anime/random                          52      0   0.0%
  /anime/search                          41      0   0.0%
  /anime/seasonal                        56      0   0.0%
  /anime/studio/1053                      1      0   0.0%
  /anime/studio/1133                      1      0   0.0%
  /anime/studio/120                       1      0   0.0%
  /anime/studio/1304                      1      0   0.0%
  /anime/studio/131                       1      0   0.0%
  /anime/studio/134                       1      0   0.0%
  /anime/studio/1379                      1      0   0.0%
  /anime/studio/1381                      1      0   0.0%
  /anime/studio/14                        1      0   0.0%
  /anime/studio/1426                      1      0   0.0%
  /anime/studio/1667                      1      0   0.0%
  /anime/studio/1723                      1      0   0.0%
  /anime/studio/1930                      1      0   0.0%
  /anime/studio/1954                      1      0   0.0%
  /anime/studio/2048                      1      0   0.0%
  /anime/studio/2085                      1      0   0.0%
  /anime/studio/2163                      1      0   0.0%
  /anime/studio/2170                      1      0   0.0%
  /anime/studio/2195                      1      0   0.0%
  /anime/studio/2268                      1      0   0.0%
  /anime/studio/2429                      1      0   0.0%
  /anime/studio/2439                      1      0   0.0%
  /anime/studio/2455                      1      0   0.0%
  /anime/studio/2487                      1      0   0.0%
  /anime/studio/2564                      1      0   0.0%
  /anime/studio/2586                      1      0   0.0%
  /anime/studio/2591                      1      0   0.0%
  /anime/studio/2636                      1      0   0.0%
  /anime/studio/2660                      1      0   0.0%
  /anime/studio/2666                      1      0   0.0%
  /anime/studio/2725                      1      0   0.0%
  /anime/studio/2760                      1      0   0.0%
  /anime/studio/2762                      1      0   0.0%
  /anime/studio/2775                      1      0   0.0%
  /anime/studio/28                        1      0   0.0%
  /anime/studio/2812                      1      0   0.0%
  /anime/studio/2835                      1      0   0.0%
  /anime/studio/2944                      2      0   0.0%
  /anime/studio/2992                      1      0   0.0%
  /anime/studio/3077                      1      0   0.0%
  /anime/studio/3129                      1      0   0.0%
  /anime/studio/3192                      1      0   0.0%
  /anime/studio/3278                      1      0   0.0%
  /anime/studio/404                       1      0   0.0%
  /anime/studio/427                       1      0   0.0%
  /anime/studio/435                       1      0   0.0%
  /anime/studio/436                       1      0   0.0%
  /anime/studio/456                       1      0   0.0%
  /anime/studio/489                       1      0   0.0%
  /anime/studio/541                       1      0   0.0%
  /anime/tags/15                          1      0   0.0%
  /anime/tags/18                          2      0   0.0%
  /anime/tags/19                          2      0   0.0%
  /anime/tags/21                          1      0   0.0%
  /anime/tags/22                          2      0   0.0%
  /anime/tags/26                          1      0   0.0%
  /anime/tags/28                          1      0   0.0%
  /anime/tags/3                           1      0   0.0%
  /anime/tags/30                          1      0   0.0%
  /anime/tags/35                          1      0   0.0%
  /anime/tags/36                          1      0   0.0%
  /anime/tags/37                          1      0   0.0%
  /anime/tags/40                          1      0   0.0%
  /anime/tags/47                          2      0   0.0%
  /anime/tags/5                           2      0   0.0%
  /anime/tags/52                          2      0   0.0%
  /anime/tags/53                          1      0   0.0%
  /anime/tags/56                          2      0   0.0%
  /anime/tags/59                          1      0   0.0%
  /anime/tags/63                          2      0   0.0%
  /anime/tags/64                          2      0   0.0%
  /anime/tags/65                          2      0   0.0%
  /anime/tags/66                          1      0   0.0%
  /anime/tags/69                          1      0   0.0%
  /anime/tags/72                          5      0   0.0%
  /anime/tags/76                          1      0   0.0%
  /anime/tags/78                          3      0   0.0%
  /anime/tags/79                          1      0   0.0%
  /anime/tags/8                           2      0   0.0%
  /anime/tags/81                          3      0   0.0%
  /anime/tags/82                          3      0   0.0%
------------------------------------------------------------
  TOTAL                                 376      0  0.0%
  Throughput: 36.5 req/s
------------------------------------------------------------
